params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.571,0.619,0.524,0.571,0.524,0.562,38
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.619,0.571,0.571,0.571,0.571,0.581,18
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.571,0.619,0.524,0.571,0.476,0.552,45
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.619,0.524,0.571,0.571,0.571,0.571,30
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.571,0.619,0.524,0.571,0.476,0.552,45
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.571,0.571,0.524,0.571,0.571,0.562,38
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.571,0.571,0.619,0.571,0.524,0.571,30
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.571,0.571,0.571,0.571,0.524,0.562,38
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.571,0.619,0.571,0.571,0.571,0.581,18
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.571,0.571,0.571,0.571,0.571,0.571,30
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.571,0.619,0.619,0.571,0.571,0.59,11
